code,description
A_ALUM,aluminium and aluminium products
A_ALUO,aluminium ores and concentrates
A_ALUW,recycling of aluminium
A_AL_INCI,incineration with energy recovery of aluminium
A_AL_LAND,landfill of aluminium
A_ASHW,recycling of ashes
A_AS_LAND,landfill of ashes
A_Agavs,agave fibres nes
A_Almod,"almonds, without shell"
A_Almol,"almonds, in shell"
A_Anisr,"anise, badian, fennel"
A_Appls,apples
A_Apris,apricots
A_Apriy,"apricots, dried"
A_Arecs,areca nuts
A_Artis,artichokes
A_Aspas,asparagus
A_Avocs,avocados
A_BA_INCI,incineration with energy recovery of batteries and accumulators waste
A_BA_INCI_no_recov,incineration without energy recovery of batteries and accumulators waste
A_BA_LAND,landfill of batteries and accumulators waste
A_BA_RECY,recycling of batteries and accumulators waste
A_BRIK,"bricks, tiles and construction products, in baked clay"
A_Bambs,bambara beans
A_Banas,bananas
A_Barly,barley
A_Bastr,jute-like fibres
A_Beann,"beans, green"
A_Beany,"beans, dry"
A_Beef_proc,beef meat processed (cuts and other)
A_Beer,beer
A_Berrs,berries nes
A_Blues,blueberries
A_Brazd,"brazil nuts, without shell"
A_Brazl,"brazil nuts, in shell"
A_Broay,"broad beans, dry"
A_Buckt,buckwheat
A_Bufmilk,buffalos - milk
A_CHEM,chemicals nec
A_CHMF,chemical and fertilizer minerals
A_CHP,heat from combined heat and power
A_CMNT,"cement, lime and plaster"
A_COAL,mining of coal and lignite; extraction of peat (10)
A_COIL,crude petroleum extraction
A_COKE,coke oven coke
A_COMP,computer and related services
A_CONS,construction work
A_CONW,recycling of construction waste
A_COPO,copper ores and concentrates
A_COPP,copper products
A_COPW,recycling of copper
A_CO_INCI,incineration with energy recovery of construction waste
A_CO_INCI_no_recov,incineration without energy recovery of construction waste
A_CO_LAND,landfill of construction waste
A_CO_OTHE,other disposal of construction waste
A_CRMC,ceramic goods
A_CU_INCI,incineration with energy recovery of copper
A_CU_LAND,landfill of copper
A_Cabbs,cabbages
A_Canad,canary seed
A_Caros,carobs
A_Carrs,carrot
A_Cashd,"cashew nuts, without shell"
A_Cashe,cashewapple
A_Cashl,"cashew nuts, in shell"
A_Cassa,cassava
A_Cassd,"cassava, dried"
A_Castd,castor beans
A_Cauli,cauliflowers and broccoli
A_Ceres,"cereals, nes"
A_Cherr,sour cherries
A_Chers,cherries
A_Chest,chestnuts
A_Chick,"chick-peas, dry"
A_Chics,chicory roots
A_Chiln,chillies and peppers (green)
A_Chily,pimento
A_Cinn,cinnamon (canella)
A_Clovs,cloves
A_Cocader,cocao derivates
A_Cocoa,cocoa beans
A_Cocod,"coconuts, desiccated"
A_Cocon,coconuts
A_Coffn,coffee green
